millisec, event-type, event-code, event-value
34, 4, 4, 458792
34, 1, 28, 0
34, 0, 0, 0
816, 4, 4, 458756
816, 1, 30, 1
816, 0, 0, 0
907, 4, 4, 458756
907, 1, 30, 0
907, 0, 0, 0
1082, 4, 4, 458757
1082, 1, 48, 1
1082, 0, 0, 0
1192, 4, 4, 458757
1192, 1, 48, 0
1192, 0, 0, 0
1378, 4, 4, 458758
1378, 1, 46, 1
1378, 0, 0, 0
1463, 4, 4, 458758
1463, 1, 46, 0
1463, 0, 0, 0
1628, 4, 4, 458759
1628, 1, 32, 1
1628, 0, 0, 0
1708, 4, 4, 458759
1708, 1, 32, 0
1708, 0, 0, 0
1899, 4, 4, 458760
1899, 1, 18, 1
1899, 0, 0, 0
2004, 4, 4, 458760
2004, 1, 18, 0
2004, 0, 0, 0
2440, 4, 4, 458761
2440, 1, 33, 1
2440, 0, 0, 0
2525, 4, 4, 458761
2525, 1, 33, 0
2525, 0, 0, 0
3884, 4, 4, 458762
3884, 1, 34, 1
3884, 0, 0, 0
3954, 4, 4, 458762
3954, 1, 34, 0
3954, 0, 0, 0
4290, 4, 4, 458763
4290, 1, 35, 1
4290, 0, 0, 0
4370, 4, 4, 458763
4370, 1, 35, 0
4370, 0, 0, 0
4711, 4, 4, 458764
4711, 1, 23, 1
4711, 0, 0, 0
4791, 4, 4, 458764
4791, 1, 23, 0
4791, 0, 0, 0
4996, 4, 4, 458765
4996, 1, 36, 1
4996, 0, 0, 0
5066, 4, 4, 458765
5066, 1, 36, 0
5066, 0, 0, 0
5548, 4, 4, 458766
5548, 1, 37, 1
5548, 0, 0, 0
5623, 4, 4, 458766
5623, 1, 37, 0
5623, 0, 0, 0
5828, 4, 4, 458767
5828, 1, 38, 1
5828, 0, 0, 0
5923, 4, 4, 458767
5923, 1, 38, 0
5923, 0, 0, 0
6089, 4, 4, 458768
6089, 1, 50, 1
6089, 0, 0, 0
6169, 4, 4, 458768
6169, 1, 50, 0
6169, 0, 0, 0
6324, 4, 4, 458769
6324, 1, 49, 1
6324, 0, 0, 0
6400, 4, 4, 458769
6400, 1, 49, 0
6400, 0, 0, 0
6570, 4, 4, 458770
6570, 1, 24, 1
6570, 0, 0, 0
6670, 4, 4, 458770
6670, 1, 24, 0
6670, 0, 0, 0
6846, 4, 4, 458771
6846, 1, 25, 1
6846, 0, 0, 0
6956, 4, 4, 458771
6956, 1, 25, 0
6956, 0, 0, 0
7272, 4, 4, 458772
7272, 1, 16, 1
7272, 0, 0, 0
7372, 4, 4, 458772
7372, 1, 16, 0
7372, 0, 0, 0
7633, 4, 4, 458773
7633, 1, 19, 1
7633, 0, 0, 0
7723, 4, 4, 458773
7723, 1, 19, 0
7723, 0, 0, 0
7868, 4, 4, 458774
7868, 1, 31, 1
7868, 0, 0, 0
7983, 4, 4, 458774
7983, 1, 31, 0
7983, 0, 0, 0
8119, 4, 4, 458775
8119, 1, 20, 1
8119, 0, 0, 0
8205, 4, 4, 458775
8205, 1, 20, 0
8205, 0, 0, 0
8364, 4, 4, 458776
8364, 1, 22, 1
8364, 0, 0, 0
8424, 4, 4, 458776
8424, 1, 22, 0
8424, 0, 0, 0
8685, 4, 4, 458777
8685, 1, 47, 1
8685, 0, 0, 0
8775, 4, 4, 458777
8775, 1, 47, 0
8775, 0, 0, 0
8976, 4, 4, 458778
8976, 1, 17, 1
8976, 0, 0, 0
9076, 4, 4, 458778
9076, 1, 17, 0
9076, 0, 0, 0
9267, 4, 4, 458779
9267, 1, 45, 1
9267, 0, 0, 0
9357, 4, 4, 458779
9357, 1, 45, 0
9357, 0, 0, 0
9562, 4, 4, 458780
9562, 1, 21, 1
9562, 0, 0, 0
9627, 4, 4, 458780
9627, 1, 21, 0
9627, 0, 0, 0
9838, 4, 4, 458781
9838, 1, 44, 1
9838, 0, 0, 0
9973, 4, 4, 458781
9973, 1, 44, 0
9973, 0, 0, 0
11622, 4, 4, 458782
11622, 1, 2, 1
11622, 0, 0, 0
11712, 4, 4, 458782
11712, 1, 2, 0
11712, 0, 0, 0
11878, 4, 4, 458783
11878, 1, 3, 1
11878, 0, 0, 0
11958, 4, 4, 458783
11958, 1, 3, 0
11958, 0, 0, 0
12108, 4, 4, 458784
12108, 1, 4, 1
12108, 0, 0, 0
12193, 4, 4, 458784
12193, 1, 4, 0
12193, 0, 0, 0
12429, 4, 4, 458785
12429, 1, 5, 1
12429, 0, 0, 0
12515, 4, 4, 458785
12515, 1, 5, 0
12515, 0, 0, 0
12780, 4, 4, 458786
12780, 1, 6, 1
12780, 0, 0, 0
12885, 4, 4, 458786
12885, 1, 6, 0
12885, 0, 0, 0
13111, 4, 4, 458787
13111, 1, 7, 1
13111, 0, 0, 0
13191, 4, 4, 458787
13191, 1, 7, 0
13191, 0, 0, 0
13422, 4, 4, 458788
13422, 1, 8, 1
13422, 0, 0, 0
13507, 4, 4, 458788
13507, 1, 8, 0
13507, 0, 0, 0
13757, 4, 4, 458789
13757, 1, 9, 1
13757, 0, 0, 0
13822, 4, 4, 458789
13822, 1, 9, 0
13822, 0, 0, 0
14073, 4, 4, 458790
14073, 1, 10, 1
14073, 0, 0, 0
14128, 4, 4, 458790
14128, 1, 10, 0
14128, 0, 0, 0
17051, 4, 4, 458792
17051, 1, 28, 1
17051, 0, 0, 0
17115, 4, 4, 458792
17115, 1, 28, 0
17115, 0, 0, 0
17397, 4, 4, 458809
17397, 1, 58, 1
17397, 0, 0, 0
17655, 1, 58, 2
17655, 0, 0, 1
17695, 1, 58, 2
17695, 0, 0, 1
17739, 1, 58, 2
17739, 0, 0, 1
17779, 1, 58, 2
17779, 0, 0, 1
17819, 1, 58, 2
17819, 0, 0, 1
17859, 1, 58, 2
17859, 0, 0, 1
17899, 1, 58, 2
17899, 0, 0, 1
17939, 1, 58, 2
17939, 0, 0, 1
17979, 1, 58, 2
17979, 0, 0, 1
18019, 1, 58, 2
18019, 0, 0, 1
18059, 1, 58, 2
18059, 0, 0, 1
18099, 1, 58, 2
18099, 0, 0, 1
18143, 1, 58, 2
18143, 0, 0, 1
18183, 1, 58, 2
18183, 0, 0, 1
18223, 1, 58, 2
18223, 0, 0, 1
18263, 1, 58, 2
18263, 0, 0, 1
18303, 1, 58, 2
18303, 0, 0, 1
