millisec, event-type, event-code, event-value
1809, 2, 0, 1
1809, 0, 0, 0
1825, 2, 0, 1
1825, 0, 0, 0
1833, 2, 0, 2
1833, 2, 1, -1
1833, 0, 0, 0
1841, 2, 0, 4
1841, 2, 1, -1
1841, 0, 0, 0
1849, 2, 0, 3
1849, 0, 0, 0
1857, 2, 0, 8
1857, 0, 0, 0
1865, 2, 0, 9
1865, 0, 0, 0
1873, 2, 0, 10
1873, 0, 0, 0
1881, 2, 0, 13
1881, 0, 0, 0
1889, 2, 0, 14
1889, 0, 0, 0
1897, 2, 0, 16
1897, 0, 0, 0
1905, 2, 0, 18
1905, 0, 0, 0
1913, 2, 0, 19
1913, 0, 0, 0
1921, 2, 0, 21
1921, 0, 0, 0
1929, 2, 0, 25
1929, 0, 0, 0
1937, 2, 0, 28
1937, 0, 0, 0
1945, 2, 0, 27
1945, 0, 0, 0
1953, 2, 0, 27
1953, 0, 0, 0
1961, 2, 0, 30
1961, 2, 1, 1
1961, 0, 0, 0
1969, 2, 0, 35
1969, 2, 1, 1
1969, 0, 0, 0
1977, 2, 0, 41
1977, 2, 1, 2
1977, 0, 0, 0
1985, 2, 0, 43
1985, 2, 1, 5
1985, 0, 0, 0
1993, 2, 0, 41
1993, 2, 1, 9
1993, 0, 0, 0
2001, 2, 0, 41
2001, 2, 1, 8
2001, 0, 0, 0
2009, 2, 0, 42
2009, 2, 1, 2
2009, 0, 0, 0
2017, 2, 0, 42
2017, 0, 0, 0
2025, 2, 0, 41
2025, 0, 0, 0
2033, 2, 0, 41
2033, 0, 0, 0
2041, 2, 0, 41
2041, 0, 0, 0
2049, 2, 0, 40
2049, 0, 0, 0
2057, 2, 0, 40
2057, 0, 0, 0
2065, 2, 0, 39
2065, 0, 0, 0
2073, 2, 0, 35
2073, 0, 0, 0
2081, 2, 0, 32
2081, 2, 1, -2
2081, 0, 0, 0
2089, 2, 0, 31
2089, 2, 1, -2
2089, 0, 0, 0
2097, 2, 0, 29
2097, 0, 0, 0
2105, 2, 0, 27
2105, 2, 1, -1
2105, 0, 0, 0
2113, 2, 0, 27
2113, 2, 1, -3
2113, 0, 0, 0
2121, 2, 0, 28
2121, 2, 1, -4
2121, 0, 0, 0
2129, 2, 0, 27
2129, 2, 1, -6
2129, 0, 0, 0
2137, 2, 0, 22
2137, 2, 1, -5
2137, 0, 0, 0
2145, 2, 0, 19
2145, 2, 1, -1
2145, 0, 0, 0
2153, 2, 0, 19
2153, 0, 0, 0
2161, 2, 0, 16
2161, 0, 0, 0
2169, 2, 0, 15
2169, 0, 0, 0
2177, 2, 0, 13
2177, 2, 1, -1
2177, 0, 0, 0
2185, 2, 0, 9
2185, 2, 1, -2
2185, 0, 0, 0
2193, 2, 0, 7
2193, 2, 1, -2
2193, 0, 0, 0
2201, 2, 0, 5
2201, 2, 1, -1
2201, 0, 0, 0
2209, 2, 0, 1
2209, 0, 0, 0
2217, 2, 0, 1
2217, 0, 0, 0
2225, 2, 0, 2
2225, 2, 1, 1
2225, 0, 0, 0
2233, 2, 0, 4
2233, 2, 1, 1
2233, 0, 0, 0
2241, 2, 0, 1
2241, 2, 1, 1
2241, 0, 0, 0
2249, 2, 1, 1
2249, 0, 0, 0
2257, 2, 0, 1
2257, 2, 1, 1
2257, 0, 0, 0
2273, 2, 1, 1
2273, 0, 0, 0
2329, 2, 0, -1
2329, 0, 0, 0
2457, 2, 0, -1
2457, 0, 0, 0
2481, 2, 0, -1
2481, 0, 0, 0
2489, 2, 0, -1
2489, 0, 0, 0
2681, 4, 4, 589825
2681, 1, 272, 1
2681, 0, 0, 0
2897, 4, 4, 589825
2897, 1, 272, 0
2897, 0, 0, 0
3065, 4, 4, 589825
3065, 1, 272, 1
3065, 0, 0, 0
3129, 2, 1, 1
3129, 0, 0, 0
3137, 2, 0, -1
3137, 0, 0, 0
3257, 4, 4, 589825
3257, 1, 272, 0
3257, 0, 0, 0
3481, 4, 4, 589825
3481, 1, 272, 1
3481, 0, 0, 0
3657, 4, 4, 589825
3657, 1, 272, 0
3657, 0, 0, 0
3841, 4, 4, 589825
3841, 1, 272, 1
3841, 0, 0, 0
4017, 4, 4, 589825
4017, 1, 272, 0
4017, 0, 0, 0
4193, 4, 4, 589825
4193, 1, 272, 1
4193, 0, 0, 0
4321, 4, 4, 589825
4321, 1, 272, 0
4321, 0, 0, 0
4969, 2, 0, 1
4969, 0, 0, 0
4977, 2, 1, -1
4977, 0, 0, 0
5089, 2, 1, 1
5089, 0, 0, 0
5193, 2, 1, 1
5193, 0, 0, 0
5201, 2, 0, -1
5201, 0, 0, 0
5209, 2, 1, 1
5209, 0, 0, 0
5217, 2, 0, -1
5217, 2, 1, 2
5217, 0, 0, 0
5225, 2, 0, -2
5225, 2, 1, 3
5225, 0, 0, 0
5233, 2, 0, -1
5233, 2, 1, 1
5233, 0, 0, 0
5241, 2, 0, -1
5241, 2, 1, 1
5241, 0, 0, 0
5249, 2, 1, 1
5249, 0, 0, 0
5257, 2, 1, 1
5257, 0, 0, 0
5265, 2, 0, -2
5265, 2, 1, 1
5265, 0, 0, 0
5273, 2, 0, -2
5273, 2, 1, 2
5273, 0, 0, 0
5281, 2, 0, -1
5281, 2, 1, 2
5281, 0, 0, 0
5289, 2, 0, -2
5289, 2, 1, 3
5289, 0, 0, 0
5297, 2, 0, -2
5297, 0, 0, 0
5305, 2, 0, -2
5305, 2, 1, 2
5305, 0, 0, 0
5313, 2, 0, -5
5313, 2, 1, 3
5313, 0, 0, 0
5321, 2, 0, -7
5321, 2, 1, 2
5321, 0, 0, 0
5329, 2, 0, -8
5329, 2, 1, 3
5329, 0, 0, 0
5337, 2, 0, -10
5337, 2, 1, 4
5337, 0, 0, 0
5345, 2, 0, -11
5345, 2, 1, 3
5345, 0, 0, 0
5353, 2, 0, -12
5353, 2, 1, 4
5353, 0, 0, 0
