millisec, event-type, event-code, event-value
44, 4, 4, 458792
44, 1, 28, 0
44, 0, 0, 0
1824, 4, 4, 458810
1824, 1, 59, 1
1824, 0, 0, 0
1924, 4, 4, 458810
1924, 1, 59, 0
1924, 0, 0, 0
2281, 4, 4, 458811
2281, 1, 60, 1
2281, 0, 0, 0
2381, 4, 4, 458811
2381, 1, 60, 0
2381, 0, 0, 0
2702, 4, 4, 458812
2702, 1, 61, 1
2702, 0, 0, 0
2811, 4, 4, 458812
2811, 1, 61, 0
2811, 0, 0, 0
3042, 4, 4, 458813
3042, 1, 62, 1
3042, 0, 0, 0
3133, 4, 4, 458813
3133, 1, 62, 0
3133, 0, 0, 0
3372, 4, 4, 458814
3372, 1, 63, 1
3372, 0, 0, 0
3473, 4, 4, 458814
3473, 1, 63, 0
3473, 0, 0, 0
3699, 4, 4, 458815
3699, 1, 64, 1
3699, 0, 0, 0
3794, 4, 4, 458815
3794, 1, 64, 0
3794, 0, 0, 0
4039, 4, 4, 458816
4039, 1, 65, 1
4039, 0, 0, 0
4130, 4, 4, 458816
4130, 1, 65, 0
4130, 0, 0, 0
4396, 4, 4, 458817
4396, 1, 66, 1
4396, 0, 0, 0
4486, 4, 4, 458817
4486, 1, 66, 0
4486, 0, 0, 0
4757, 4, 4, 458818
4757, 1, 67, 1
4757, 0, 0, 0
4847, 4, 4, 458818
4847, 1, 67, 0
4847, 0, 0, 0
7212, 4, 4, 458819
7212, 1, 68, 1
7212, 0, 0, 0
7273, 4, 4, 458819
7273, 1, 68, 0
7273, 0, 0, 0
12009, 4, 4, 458809
12009, 1, 58, 1
12009, 0, 0, 0
12204, 4, 4, 458758
12204, 1, 46, 1
12204, 0, 0, 0
