millisec, event-type, event-code, event-value
33, 4, 4, 458792
33, 1, 28, 0
33, 0, 0, 0
2810, 4, 4, 458841
2810, 1, 79, 1
2810, 0, 0, 0
2890, 4, 4, 458841
2890, 1, 79, 0
2890, 0, 0, 0
3216, 4, 4, 458842
3216, 1, 80, 1
3216, 0, 0, 0
3306, 4, 4, 458842
3306, 1, 80, 0
3306, 0, 0, 0
3597, 4, 4, 458843
3597, 1, 81, 1
3597, 0, 0, 0
3692, 4, 4, 458843
3692, 1, 81, 0
3692, 0, 0, 0
3968, 4, 4, 458844
3968, 1, 75, 1
3968, 0, 0, 0
4033, 4, 4, 458844
4033, 1, 75, 0
4033, 0, 0, 0
4233, 4, 4, 458845
4233, 1, 76, 1
4233, 0, 0, 0
4318, 4, 4, 458845
4318, 1, 76, 0
4318, 0, 0, 0
4669, 4, 4, 458846
4669, 1, 77, 1
4669, 0, 0, 0
4734, 4, 4, 458846
4734, 1, 77, 0
4734, 0, 0, 0
5040, 4, 4, 458847
5040, 1, 71, 1
5040, 0, 0, 0
5100, 4, 4, 458847
5100, 1, 71, 0
5100, 0, 0, 0
5341, 4, 4, 458848
5341, 1, 72, 1
5341, 0, 0, 0
5426, 4, 4, 458848
5426, 1, 72, 0
5426, 0, 0, 0
5892, 4, 4, 458849
5892, 1, 73, 1
5892, 0, 0, 0
5967, 4, 4, 458849
5967, 1, 73, 0
5967, 0, 0, 0
7927, 4, 4, 458850
7927, 1, 82, 1
7927, 0, 0, 0
8017, 4, 4, 458850
8017, 1, 82, 0
8017, 0, 0, 0
9646, 4, 4, 458840
9646, 1, 96, 1
9646, 0, 0, 0
9706, 4, 4, 458840
9706, 1, 96, 0
9706, 0, 0, 0
11060, 4, 4, 458809
11060, 1, 58, 1
11060, 0, 0, 0
11312, 1, 58, 2
11312, 0, 0, 1
11352, 1, 58, 2
11352, 0, 0, 1
11392, 1, 58, 2
11392, 0, 0, 1
11432, 1, 58, 2
11432, 0, 0, 1
11472, 1, 58, 2
11472, 0, 0, 1
11512, 1, 58, 2
11512, 0, 0, 1
11556, 1, 58, 2
11556, 0, 0, 1
11596, 1, 58, 2
11596, 0, 0, 1
11636, 1, 58, 2
11636, 0, 0, 1
11676, 1, 58, 2
11676, 0, 0, 1
11716, 1, 58, 2
11716, 0, 0, 1
11756, 1, 58, 2
11756, 0, 0, 1
11796, 1, 58, 2
11796, 0, 0, 1
11836, 1, 58, 2
11836, 0, 0, 1
11876, 1, 58, 2
11876, 0, 0, 1
11920, 1, 58, 2
11920, 0, 0, 1
11960, 1, 58, 2
11960, 0, 0, 1
12004, 1, 58, 2
12004, 0, 0, 1
12044, 1, 58, 2
12044, 0, 0, 1
12084, 1, 58, 2
12084, 0, 0, 1
12124, 1, 58, 2
12124, 0, 0, 1
12168, 1, 58, 2
12168, 0, 0, 1
12212, 1, 58, 2
12212, 0, 0, 1
12252, 1, 58, 2
12252, 0, 0, 1
12292, 1, 58, 2
12292, 0, 0, 1
12336, 1, 58, 2
12336, 0, 0, 1
12376, 1, 58, 2
12376, 0, 0, 1
12416, 1, 58, 2
12416, 0, 0, 1
12456, 1, 58, 2
12456, 0, 0, 1
12496, 1, 58, 2
12496, 0, 0, 1
12536, 1, 58, 2
12536, 0, 0, 1
12576, 1, 58, 2
12576, 0, 0, 1
12616, 1, 58, 2
12616, 0, 0, 1
12656, 1, 58, 2
12656, 0, 0, 1
12696, 1, 58, 2
12696, 0, 0, 1
12736, 1, 58, 2
12736, 0, 0, 1
12764, 4, 4, 458758
12764, 1, 46, 1
12764, 0, 0, 0
