millisec, event-type, event-code, event-value
694, 2, 0, -1
694, 0, 0, 0
699, 2, 0, -1
699, 0, 0, 0
702, 2, 0, -1
702, 0, 0, 0
704, 2, 0, -1
704, 0, 0, 0
706, 2, 0, -1
706, 2, 1, 1
706, 0, 0, 0
707, 2, 0, -1
707, 0, 0, 0
709, 2, 0, -1
709, 0, 0, 0
710, 2, 0, -1
710, 0, 0, 0
711, 2, 0, -1
711, 0, 0, 0
712, 2, 0, -1
712, 0, 0, 0
714, 2, 0, -1
714, 2, 1, 1
714, 0, 0, 0
715, 2, 0, -1
715, 0, 0, 0
716, 2, 0, -1
716, 0, 0, 0
717, 2, 0, -1
717, 0, 0, 0
719, 2, 0, -1
719, 0, 0, 0
720, 2, 0, -1
720, 0, 0, 0
721, 2, 0, -1
721, 0, 0, 0
722, 2, 0, -1
722, 0, 0, 0
723, 2, 0, -1
723, 0, 0, 0
725, 2, 0, -1
725, 0, 0, 0
726, 2, 0, -1
726, 0, 0, 0
727, 2, 0, -1
727, 0, 0, 0
729, 2, 0, -1
729, 0, 0, 0
730, 2, 0, -1
730, 0, 0, 0
731, 2, 0, -1
731, 0, 0, 0
732, 2, 0, -1
732, 0, 0, 0
734, 2, 0, -1
734, 2, 1, 1
734, 0, 0, 0
738, 2, 0, -1
738, 0, 0, 0
754, 2, 0, 1
754, 0, 0, 0
757, 2, 0, 1
757, 0, 0, 0
759, 2, 0, 1
759, 0, 0, 0
760, 2, 0, 1
760, 0, 0, 0
762, 2, 0, 1
762, 0, 0, 0
763, 2, 0, 1
763, 0, 0, 0
764, 2, 0, 1
764, 0, 0, 0
765, 2, 0, 1
765, 0, 0, 0
767, 2, 0, 2
767, 0, 0, 0
769, 2, 0, 2
769, 0, 0, 0
771, 2, 0, 2
771, 0, 0, 0
772, 2, 0, 1
772, 0, 0, 0
773, 2, 0, 2
773, 2, 1, -1
773, 0, 0, 0
774, 2, 0, 1
774, 0, 0, 0
775, 2, 0, 1
775, 0, 0, 0
776, 2, 0, 1
776, 2, 1, -1
776, 0, 0, 0
777, 2, 0, 2
777, 0, 0, 0
778, 2, 0, 1
778, 0, 0, 0
779, 2, 0, 2
779, 0, 0, 0
780, 2, 0, 1
