millisec, event-type, event-code, event-value
43, 4, 4, 458792
43, 1, 28, 0
43, 0, 0, 0
2904, 4, 4, 458774
2904, 1, 31, 1
2904, 0, 0, 0
3159, 1, 31, 2
3159, 0, 0, 1
3199, 1, 31, 2
3199, 0, 0, 1
3205, 4, 4, 458774
3205, 1, 31, 0
3205, 0, 0, 0
3566, 4, 4, 458759
3566, 1, 32, 1
3566, 0, 0, 0
3751, 4, 4, 458774
3751, 1, 31, 1
3751, 0, 0, 0
3772, 4, 4, 458759
3772, 1, 32, 0
3772, 0, 0, 0
4293, 4, 4, 458774
4293, 1, 31, 0
4293, 0, 0, 0
4323, 4, 4, 458756
4323, 1, 30, 1
4323, 0, 0, 0
4575, 1, 30, 2
4575, 0, 0, 1
4615, 1, 30, 2
4615, 0, 0, 1
4655, 1, 30, 2
4655, 0, 0, 1
4695, 1, 30, 2
4695, 0, 0, 1
4735, 1, 30, 2
4735, 0, 0, 1
4775, 1, 30, 2
4775, 0, 0, 1
4814, 4, 4, 458774
4814, 1, 31, 1
4814, 0, 0, 0
4854, 4, 4, 458756
4854, 1, 30, 0
4854, 0, 0, 0
5616, 4, 4, 458774
5616, 1, 31, 0
5616, 0, 0, 0
5781, 4, 4, 458759
5781, 1, 32, 1
5781, 0, 0, 0
6035, 1, 32, 2
6035, 0, 0, 1
6075, 1, 32, 2
6075, 0, 0, 1
6115, 1, 32, 2
6115, 0, 0, 1
6155, 1, 32, 2
6155, 0, 0, 1
6195, 1, 32, 2
6195, 0, 0, 1
6235, 1, 32, 2
6235, 0, 0, 1
6275, 1, 32, 2
6275, 0, 0, 1
6277, 4, 4, 458759
6277, 1, 32, 0
6277, 0, 0, 0
6298, 4, 4, 458778
6298, 1, 17, 1
6298, 0, 0, 0
6388, 4, 4, 458756
6388, 1, 30, 1
6388, 0, 0, 0
6553, 4, 4, 458756
6553, 1, 30, 0
6553, 0, 0, 0
7300, 4, 4, 458759
7300, 1, 32, 1
7300, 0, 0, 0
7410, 4, 4, 458759
7410, 1, 32, 0
7410, 0, 0, 0
7856, 4, 4, 458759
7856, 1, 32, 1
7856, 0, 0, 0
7881, 4, 4, 458778
7881, 1, 17, 0
7881, 0, 0, 0
8032, 4, 4, 458774
8032, 1, 31, 1
8032, 0, 0, 0
8127, 4, 4, 458759
8127, 1, 32, 0
8127, 0, 0, 0
8458, 4, 4, 458759
8458, 1, 32, 1
8458, 0, 0, 0
8493, 4, 4, 458774
8493, 1, 31, 0
8493, 0, 0, 0
9270, 4, 4, 458756
9270, 1, 30, 1
9270, 0, 0, 0
9280, 4, 4, 458759
9280, 1, 32, 0
9280, 0, 0, 0
9771, 4, 4, 458774
9771, 1, 31, 1
9771, 0, 0, 0
9881, 4, 4, 458756
9881, 1, 30, 0
9881, 0, 0, 0
10087, 4, 4, 458774
10087, 1, 31, 0
10087, 0, 0, 0
10132, 4, 4, 458756
10132, 1, 30, 1
10132, 0, 0, 0
10232, 4, 4, 458778
10232, 1, 17, 1
10232, 0, 0, 0
10487, 1, 17, 2
10487, 0, 0, 1
10527, 1, 17, 2
10527, 0, 0, 1
10533, 4, 4, 458778
10533, 1, 17, 0
10533, 0, 0, 0
11039, 4, 4, 458774
11039, 1, 31, 1
11039, 0, 0, 0
11069, 4, 4, 458756
11069, 1, 30, 0
11069, 0, 0, 0
11781, 4, 4, 458756
11781, 1, 30, 1
11781, 0, 0, 0
11976, 4, 4, 458774
11976, 1, 31, 0
11976, 0, 0, 0
12136, 4, 4, 458756
12136, 1, 30, 0
12136, 0, 0, 0
12302, 4, 4, 458778
12302, 1, 17, 1
12302, 0, 0, 0
12367, 4, 4, 458778
12367, 1, 17, 0
12367, 0, 0, 0
12973, 4, 4, 458774
12973, 1, 31, 1
12973, 0, 0, 0
13219, 4, 4, 458774
13219, 1, 31, 0
13219, 0, 0, 0
13349, 4, 4, 458759
13349, 1, 32, 1
13349, 0, 0, 0
13603, 1, 32, 2
13603, 0, 0, 1
13643, 1, 32, 2
13643, 0, 0, 1
13683, 1, 32, 2
13683, 0, 0, 1
13723, 1, 32, 2
13723, 0, 0, 1
13763, 1, 32, 2
13763, 0, 0, 1
13803, 1, 32, 2
13803, 0, 0, 1
13843, 1, 32, 2
13843, 0, 0, 1
13883, 1, 32, 2
13883, 0, 0, 1
13923, 1, 32, 2
13923, 0, 0, 1
13963, 1, 32, 2
13963, 0, 0, 1
14003, 1, 32, 2
14003, 0, 0, 1
14043, 1, 32, 2
14043, 0, 0, 1
14083, 1, 32, 2
14083, 0, 0, 1
14096, 4, 4, 458759
14096, 1, 32, 0
14096, 0, 0, 0
14131, 4, 4, 458778
14131, 1, 17, 1
14131, 0, 0, 0
14251, 4, 4, 458778
14251, 1, 17, 0
14251, 0, 0, 0
14577, 4, 4, 458759
14577, 1, 32, 1
14577, 0, 0, 0
14831, 1, 32, 2
14831, 0, 0, 1
14863, 4, 4, 458759
14863, 1, 32, 0
14863, 0, 0, 0
15003, 4, 4, 458756
15003, 1, 30, 1
15003, 0, 0, 0
15219, 4, 4, 458778
15219, 1, 17, 1
15219, 0, 0, 0
15244, 4, 4, 458756
15244, 1, 30, 0
15244, 0, 0, 0
15324, 4, 4, 458756
15324, 1, 30, 1
15324, 0, 0, 0
15555, 4, 4, 458756
15555, 1, 30, 0
15555, 0, 0, 0
15946, 4, 4, 458756
15946, 1, 30, 1
15946, 0, 0, 0
16199, 1, 30, 2
16199, 0, 0, 1
16239, 1, 30, 2
16239, 0, 0, 1
16241, 4, 4, 458756
16241, 1, 30, 0
16241, 0, 0, 0
16427, 4, 4, 458759
16427, 1, 32, 1
16427, 0, 0, 0
