millisec, event-type, event-code, event-value
1368, 2, 0, -1
1368, 0, 0, 0
1369, 2, 1, 1
1369, 0, 0, 0
1371, 2, 0, -1
1371, 0, 0, 0
1374, 2, 0, -1
1374, 2, 1, 1
1374, 0, 0, 0
1377, 2, 0, -1
1377, 0, 0, 0
1380, 2, 0, -1
1380, 2, 1, 1
1380, 0, 0, 0
1385, 2, 0, -1
1385, 0, 0, 0
1428, 2, 0, 1
1428, 0, 0, 0
1430, 2, 0, 1
1430, 2, 1, -1
1430, 0, 0, 0
1431, 2, 0, 1
1431, 0, 0, 0
1432, 2, 0, 1
1432, 2, 1, -1
1432, 0, 0, 0
1433, 2, 0, 1
1433, 2, 1, -1
1433, 0, 0, 0
1434, 2, 0, 1
1434, 0, 0, 0
1435, 2, 0, 1
1435, 2, 1, -1
1435, 0, 0, 0
1436, 2, 0, 1
1436, 2, 1, -1
1436, 0, 0, 0
1437, 2, 0, 2
1437, 2, 1, -1
1437, 0, 0, 0
1438, 2, 0, 1
1438, 2, 1, -1
1438, 0, 0, 0
1439, 2, 0, 2
1439, 0, 0, 0
1440, 2, 0, 1
1440, 2, 1, -1
1440, 0, 0, 0
1441, 2, 0, 2
1441, 2, 1, -1
1441, 0, 0, 0
1442, 2, 0, 2
1442, 2, 1, -1
1442, 0, 0, 0
1443, 2, 0, 1
1443, 2, 1, -1
1443, 0, 0, 0
1444, 2, 0, 2
1444, 2, 1, -1
1444, 0, 0, 0
1445, 2, 0, 2
1445, 2, 1, -1
1445, 0, 0, 0
1446, 2, 0, 1
1446, 2, 1, -1
1446, 0, 0, 0
1447, 2, 0, 2
1447, 2, 1, -1
1447, 0, 0, 0
1448, 2, 0, 1
1448, 0, 0, 0
1449, 2, 0, 2
1449, 2, 1, -1
1449, 0, 0, 0
1450, 2, 0, 1
1450, 2, 1, -1
1450, 0, 0, 0
1451, 2, 0, 2
1451, 0, 0, 0
1452, 2, 0, 2
1452, 2, 1, -1
1452, 0, 0, 0
1453, 2, 0, 1
1453, 2, 1, -1
1453, 0, 0, 0
1454, 2, 0, 2
1454, 2, 1, -1
1454, 0, 0, 0
1455, 2, 0, 2
1455, 0, 0, 0
1456, 2, 0, 1
1456, 2, 1, -1
1456, 0, 0, 0
1457, 2, 0, 2
1457, 2, 1, -1
1457, 0, 0, 0
1458, 2, 0, 1
1458, 0, 0, 0
1459, 2, 0, 1
1459, 2, 1, -1
1459, 0, 0, 0
1460, 2, 0, 1
1460, 0, 0, 0
1461, 2, 0, 1
1461, 2, 1, -1
1461, 0, 0, 0
1462, 2, 0, 2
1462, 0, 0, 0
1464, 2, 0, 1
1464, 2, 1, -1
1464, 0, 0, 0
1465, 2, 0, 1
1465, 0, 0, 0
